package	before	after
Cabal	yes	no
Cabal-syntax	yes	no
HUnit	yes	no
OneTuple	yes	no
Only	yes	yes
RSA	yes	no
SHA	yes	no
StateVar	yes	no
adjunctions	yes	no
aeson	yes	yes
ansi-terminal	yes	no
ansi-terminal-types	yes	no
app-models	yes	yes
appar	yes	no
array	yes	no
asn1-encoding	yes	no
asn1-parse	yes	no
asn1-types	yes	no
assoc	yes	no
async	yes	no
atomic-primops	yes	no
attoparsec	yes	no
attoparsec-aeson	yes	no
authenticate-oauth	yes	no
auto-update	yes	no
base	yes	yes
base-orphans	yes	no
base-unicode-symbols	yes	no
base16-bytestring	yes	no
base64-bytestring	yes	yes
basement	yes	no
basic-prelude	yes	no
bifunctors	yes	no
binary	yes	no
binary-parser	yes	no
bitvec	yes	no
blaze-builder	yes	no
blaze-html	yes	yes
blaze-markup	yes	yes
bsb-http-chunked	yes	no
byteable	yes	no
bytebuild	yes	no
byteorder	yes	no
byteslice	yes	no
bytesmith	yes	no
bytestring	yes	yes
bytestring-builder	yes	no
bytestring-strict-builder	yes	no
bytestring-tree-builder	yes	no
call-stack	yes	no
case-insensitive	yes	yes
cborg	yes	no
cereal	yes	no
cereal-text	yes	no
character-ps	yes	no
charset	yes	no
chunked-data	yes	no
classy-prelude	yes	no
clientsession	yes	no
clock	yes	no
colour	yes	no
comonad	yes	no
concise	yes	no
conduit	yes	no
conduit-extra	yes	no
containers	yes	yes
contiguous	yes	no
contravariant	yes	no
cookie	yes	no
countable-inflections	yes	no
crypto-api	yes	no
crypto-pubkey-types	yes	no
cryptohash	yes	no
cryptohash-md5	yes	no
cryptohash-sha1	yes	no
crypton	yes	yes
crypton-connection	yes	no
crypton-socks	yes	no
crypton-x509	yes	no
crypton-x509-store	yes	no
crypton-x509-system	yes	no
crypton-x509-validation	yes	no
cryptonite	yes	no
cryptonite-conduit	yes	no
data-default	yes	no
data-default-class	yes	no
data-fix	yes	no
deepseq	yes	no
digest	yes	no
directory	yes	yes
distributive	yes	no
dlist	yes	no
dlist-instances	yes	no
easy-file	yes	no
entropy	yes	no
exceptions	yes	no
fast-logger	yes	no
file-embed	yes	no
filepath	yes	no
free	yes	no
generically	yes	no
ghc	yes	no
ghc-bignum	yes	no
ghc-boot	yes	no
ghc-boot-th	yes	no
ghc-compact	yes	no
ghc-experimental	yes	no
ghc-heap	yes	no
ghc-internal	yes	no
ghc-platform	yes	no
ghc-prim	yes	no
ghc-toolchain	yes	no
ghci	yes	no
half	yes	no
hashable	yes	no
haskeline	yes	no
haskell-lexer	yes	no
haskell-src-exts	yes	no
haskell-src-meta	yes	no
hasql	yes	no
hasql-dynamic-statements	yes	no
hasql-implicits	yes	no
hasql-mapping	yes	no
hasql-notifications	yes	no
hasql-pool	yes	no
hasql-postgresql-types	yes	no
hasql-transaction	yes	no
hourglass	yes	yes
hpc	yes	no
hs-opentelemetry-api	yes	yes
hs-opentelemetry-exporter-otlp	yes	no
hs-opentelemetry-instrumentation-wai	yes	yes
hs-opentelemetry-otlp	yes	no
hs-opentelemetry-propagator-b3	yes	no
hs-opentelemetry-propagator-datadog	yes	no
hs-opentelemetry-propagator-w3c	yes	no
hs-opentelemetry-sdk	yes	yes
http-accept	yes	no
http-client	yes	yes
http-client-tls	yes	no
http-conduit	yes	yes
http-date	yes	no
http-media	yes	no
http-semantics	yes	no
http-types	yes	yes
http2	yes	no
ihp	yes	yes
ihp-context	yes	no
ihp-hsx	yes	no
ihp-imagemagick	yes	no
ihp-log	yes	no
ihp-mail	yes	yes
ihp-modal	yes	no
ihp-pagehead	yes	no
ihp-pglistener	yes	no
indexed-traversable	yes	no
indexed-traversable-instances	yes	no
inflections	yes	no
ini	yes	no
integer-conversion	yes	no
integer-gmp	yes	no
integer-logarithms	yes	no
interpolate	yes	no
invariant	yes	no
ip	yes	no
iproute	yes	no
jose	yes	no
jsonifier	yes	no
kan-extensions	yes	no
keys	yes	no
lens	yes	no
lens-aeson	yes	no
lens-family	yes	no
lens-family-core	yes	no
lucid2	yes	no
megaparsec	yes	no
memory	yes	yes
microlens	yes	no
mime-mail	yes	no
mime-mail-ses	yes	no
mime-types	yes	no
minio-hs	yes	no
monad-time	yes	no
mono-traversable	yes	no
mono-traversable-instances	yes	no
mtl	yes	no
mtl-compat	yes	no
mutable-containers	yes	no
natural-arithmetic	yes	no
neat-interpolation	yes	no
network	yes	yes
network-bsd	yes	no
network-byte-order	yes	no
network-control	yes	no
network-info	yes	no
network-uri	yes	no
old-locale	yes	no
old-time	yes	no
optparse-applicative	yes	no
os-string	yes	no
parallel	yes	no
parsec	yes	no
parser-combinators	yes	no
pcre-utils	yes	no
pem	yes	no
pointed	yes	no
postgresql-binary	yes	no
postgresql-connection-string	yes	no
postgresql-libpq	yes	no
postgresql-libpq-pkgconfig	yes	no
postgresql-simple	yes	yes
postgresql-simple-postgresql-types	yes	no
postgresql-types	yes	no
postgresql-types-algebra	yes	no
pretty	yes	no
prettyprinter	yes	no
prettyprinter-ansi-terminal	yes	no
primitive	yes	no
primitive-addr	yes	no
primitive-offset	yes	no
primitive-unlifted	yes	no
process	yes	yes
profunctors	yes	no
proto-lens	yes	no
proto-lens-runtime	yes	no
psqueues	yes	no
ptr	yes	no
ptr-peeker	yes	no
ptr-poker	yes	no
pwstore-fast	yes	no
random	yes	yes
random-strings	yes	no
recv	yes	no
reflection	yes	no
regex-base	yes	no
regex-pcre-builtin	yes	no
regex-tdfa	yes	no
relude	yes	no
resource-pool	yes	no
resourcet	yes	no
retry	yes	no
rts	yes	no
run-st	yes	no
safe	yes	no
safe-exceptions	yes	yes
say	yes	no
scientific	yes	yes
semaphore-compat	yes	no
semialign	yes	no
semigroupoids	yes	no
semigroups	yes	no
serialise	yes	no
setenv	yes	no
simple-sendfile	yes	no
singletons	yes	no
skein	yes	no
slugger	yes	no
smtp-mail	yes	no
split	yes	no
splitmix	yes	no
stm	yes	no
stm-chans	yes	no
streaming-commons	yes	no
strict	yes	no
strict-list	yes	no
string-conversions	yes	no
syb	yes	no
system-cxx-std-lib	yes	no
systemd	yes	no
tagged	yes	no
tasty	yes	no
template-haskell	yes	no
temporary	yes	no
terminfo	yes	no
text	yes	yes
text-builder	yes	no
text-builder-core	yes	no
