fixture	guarantee	pilot_seam	full_rollout	roster_action_equivalent
Test/CompileFail/FrontendSurfaceRawMountedTarget.hs	opaque	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongFragmentMarker.hs	owner	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongFragmentField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongIntentField.hs	fields	unchanged	operation-local-intent	-
Test/CompileFail/FrontendSurfaceWrongIntentOperation.hs	operation	unchanged	operation-local-intent	-
Test/CompileFail/FrontendSurfaceRawIntentRebinding.hs	opaque	unchanged	operation-local-intent	-
Test/CompileFail/FrontendSurfaceWrongScopeField.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongLiveScopeMarker.hs	owner	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceIncompleteLiveFragment.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceRawLiveIdentity.hs	opaque	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceResourceInLiveAdapterLane.hs	kind	unchanged	kind-indexed-generator	-
Test/CompileFail/FrontendSurfaceActionInLiveAdapterLane.hs	kind	unchanged	kind-indexed-generator	-
Test/CompileFail/FrontendSurfaceIntentInLiveAdapterLane.hs	kind	unchanged	kind-indexed-generator	-
Test/CompileFail/FrontendSurfaceIntentInActionAdapterLane.hs	kind	unchanged	operation-kind	-
Test/CompileFail/FrontendSurfaceActionInIntentAdapterLane.hs	kind	unchanged	operation-kind	-
Test/CompileFail/FrontendSurfaceDirectRenderableAdapter.hs	opaque	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceRawResource.hs	opaque	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceWrongResourceMarker.hs	owner	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceIncompleteResource.hs	fields	unchanged	unchanged	-
Test/CompileFail/FrontendSurfaceExtraResourceField.hs	fields	unchanged	unchanged	Test/CompileFail/FrontendSurfaceRosterActionExtraField.hs
