module	package	reason
Codec.Archive.Zip	zip-archive	Application/Helper/Export/Render.hs via Main
Control.Applicative	base	Application/Helper/Xero.hs via Main
Control.Category	base	Application/StaffDocuments/RsaExtraction.hs via Main
Control.Concurrent	base	Application/Helper/LiveUpdate/DurableListener.hs via Main
Control.Concurrent.MVar	base	Application/Bepis/Fact.hs via Main
Control.Exception	base	Web/FrontController.hs via Main
Control.Exception.Safe	safe-exceptions	Application/Helper/LiveUpdate/Internal.hs via Main
Control.Monad	base	Web/SurfaceInvalidation.hs via Main
Crypto.Cipher.AES	crypton	Application/Helper/Xero.hs via Main
Crypto.Cipher.Types	crypton	Application/Helper/Xero.hs via Main
Crypto.Error	crypton	Application/Helper/Xero.hs via Main
Crypto.Hash	crypton	Application/Billing/Stripe.hs via Main
Crypto.MAC.HMAC	crypton	Application/Billing/Stripe.hs via Main
Crypto.Random	crypton	Application/Helper/Xero.hs via Main
Crypto.WebAuthn.Cose.SignAlg	webauthn	Application/Helper/FrontendContract/Wire/Passkey.hs via Main
Crypto.WebAuthn.Encoding.Internal.WebAuthnJson	webauthn	Application/Helper/FrontendContract/Wire/Passkey.hs via Main
Crypto.WebAuthn.Encoding.Strings	webauthn	Application/Helper/FrontendContract/Wire/Passkey.hs via Main
Crypto.WebAuthn.Encoding.WebAuthnJson	webauthn	Web/Controller/Auth.hs via Main
Crypto.WebAuthn.Model.Kinds	webauthn	Application/Helper/FrontendContract/Wire/Passkey.hs via Main
Crypto.WebAuthn.Model.Types	webauthn	Web/Controller/Auth.hs via Main
Crypto.WebAuthn.Operation.Authentication	webauthn	Web/Controller/Auth.hs via Main
Crypto.WebAuthn.Operation.CredentialEntry	webauthn	Web/Controller/Auth.hs via Main
Crypto.WebAuthn.Operation.Registration	webauthn	Web/Controller/Auth.hs via Main
Data.Aeson	aeson	Application/Helper/LiveUpdate/DurableListener.hs via Main
Data.Aeson.Key	aeson	Application/Helper/LiveUpdate/DurableCodec.hs via Main
Data.Aeson.KeyMap	aeson	Application/Helper/LiveUpdate/DurableCodec.hs via Main
Data.Aeson.Types	aeson	Application/Billing/Stripe.hs via Main
Data.Bifunctor	base	Application/Helper/FrontendContract/Surface/Request.hs via Main
Data.ByteArray	memory	Application/Billing/Stripe.hs via Main
Data.ByteString	bytestring	Application/Helper/Telemetry.hs via Main
Data.ByteString.Base64	base64-bytestring	Web/Controller/Exports.hs via Main
Data.ByteString.Base64.URL	base64-bytestring	Application/Helper/FrontendContract/Wire/Passkey.hs via Main
Data.ByteString.Char8	bytestring	Application/Helper/Passkeys.hs via Main
Data.ByteString.Lazy	bytestring	Application/Helper/Profiling.hs via Main
Data.CaseInsensitive	case-insensitive	Application/Helper/Telemetry.hs via Main
Data.Char	base	Application/Helper/Profiling.hs via Main
Data.Coerce	base	Web/Controller/Feedback.hs via Main
Data.Data	base	Application/Helper/Telemetry.hs via Main
Data.Either	base	Web/Controller/RosterWeeks.hs via Main
Data.Fixed	base	Application/Helper/TimeRules.hs via Main
Data.Foldable	base	Application/Helper/FrontendContract/Surface/Values.hs via Main
Data.Function	base	Application/Helper/Audit.hs via Main
Data.Functor	base	Web/Controller/Admin/Support.hs via Main
Data.HashMap.Strict	unordered-containers	Application/Helper/Telemetry.hs via Main
Data.Hourglass	hourglass	Web/Controller/Auth.hs via Main
Data.IORef	base	Application/Helper/Profiling.hs via Main
Data.Int	base	Application/Helper/LiveUpdate/OutboxPruning.hs via Application.Script.LiveInvalidationOutboxPrune
Data.Kind	base	Application/Helper/FrontendContract/Surface/Request.hs via Main
Data.List	base	Application/Helper/Profiling.hs via Main
Data.List.NonEmpty	base	Web/Controller/Auth.hs via Main
Data.Map.Strict	containers	Application/Helper/Profiling.hs via Main
Data.Maybe	base	Web/Controller/RosterWeeks.hs via Main
Data.Ord	base	Web/LeaveRequests/SelfService.hs via Main
Data.Ratio	base	Application/Helper/Export/Render.hs via Main
Data.Scientific	scientific	Application/Helper/LiveUpdate/DurableCodec.hs via Main
Data.Set	containers	Web/SurfaceInvalidation.hs via Main
Data.Text	text	Application/Helper/Profiling.hs via Main
Data.Text.Encoding	text	Application/Helper/Telemetry.hs via Main
Data.Text.Encoding.Error	text	Application/Helper/Telemetry.hs via Main
Data.Text.IO	text	Web/FrontController.hs via Main
Data.Text.Lazy.Encoding	text	Application/Helper/Profiling.hs via Main
Data.Time	time	Web/Controller/RosterWeeks.hs via Main
Data.Time.Calendar	time	Web/Controller/RosterWeeks.hs via Main
Data.Time.Calendar.WeekDate	time	Application/Helper/WeekBoundaries.hs via Main
Data.Time.Clock	time	Application/Helper/LiveUpdate/DurableListener.hs via Main
Data.Time.Clock.POSIX	time	Application/Billing/Stripe.hs via Main
Data.Time.Format	time	Web/Controller/StaffDocuments.hs via Main
Data.Time.LocalTime	time	Web/Controller/RosterWeeks.hs via Main
Data.Time.Zones	tz	Application/VenueTime.hs via Main
Data.Time.Zones.All	tz	Application/VenueTime.hs via Main
Data.Traversable	base	Application/VenueTime/Model.hs via Main
Data.Tuple.Only	Only	Web/Timesheets/Mutations.hs via Main
Data.Typeable	base	Web/Controller/Prelude.hs via Main
Data.UUID	uuid	Application/Helper/LiveUpdate/DurableListener.hs via Main
Data.UUID.V4	uuid	Application/Helper/Profiling.hs via Main
Data.Validation	validation	Web/Controller/Auth.hs via Main
Data.Vault.Lazy	vault	Application/Helper/Profiling.hs via Main
Data.Vector	vector	Application/Helper/Xero.hs via Main
Database.PostgreSQL.Simple	postgresql-simple	Application/Helper/LiveUpdate/DurableListener.hs via Main
Database.PostgreSQL.Simple.Notification	postgresql-simple	Application/Helper/LiveUpdate/DurableListener.hs via Main
Database.PostgreSQL.Simple.Transaction	postgresql-simple	Application/Helper/LiveUpdate/DurableListener.hs via Main
Database.PostgreSQL.Simple.Types	postgresql-simple	Web/Controller/Auth.hs via Main
GHC.Clock	base	Application/Helper/Profiling.hs via Main
GHC.Generics	base	Application/Bepis/Fact.hs via Main
GHC.Records	base	Application/Helper/Pay.hs via Main
GHC.TypeLits	base	Application/Helper/FrontendContract/Surface/Values.hs via Main
Generated.Enums	app-models	Application/FwcMapd/Validation.hs via Main
Generated.Types	app-models	Web/Types.hs via Main
Hasql.Errors	hasql	Application/Helper/UserPreferences.hs via Main
IHP.AuthSupport.Authentication	ihp	Web/Controller/Sessions.hs via Main
IHP.AuthSupport.Controller.Sessions	ihp	Web/Controller/Auth.hs via Main
IHP.AuthSupport.Lockable	ihp	Web/Controller/Sessions.hs via Main
IHP.Controller.Context	ihp	Web/FrontController.hs via Main
IHP.Controller.Param	ihp	Application/Helper/FrontendContract/Surface/Request.hs via Main
IHP.Controller.Render	ihp	Application/Helper/Profiling.hs via Main
IHP.Controller.Response	ihp	Application/Helper/Telemetry.hs via Main
IHP.Controller.Session	ihp	Web/FrontController.hs via Main
IHP.ControllerPrelude	ihp	Application/Helper/Feedback.hs via Main
IHP.ControllerSupport	ihp	Application/Helper/Profiling.hs via Main
IHP.EnvVar	ihp	Config/Config.hs via Main
IHP.Environment	ihp	Config/Config.hs via Main
IHP.Fetch	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.FrameworkConfig	ihp	Main.hs via Main
IHP.HaskellSupport	ihp	Application/RosterShiftAssignment.hs via Main
IHP.InputValue	ihp	Application/Helper/Passkeys.hs via Main
IHP.Job.Runner	ihp	Web/Worker.hs via Main
IHP.Job.Types	ihp	Main.hs via Main
IHP.LoginSupport.Helper.Controller	ihp	Web/FrontController.hs via Main
IHP.LoginSupport.Middleware	ihp	Web/FrontController.hs via Main
IHP.LoginSupport.Types	ihp	Web/Types.hs via Main
IHP.Mail	ihp-mail	Application/EmailDelivery.hs via Main
IHP.Mail.Types	ihp-mail	Config/Config.hs via Main
IHP.MailPrelude	ihp-mail	Web/Mail/Users/EmailVerification.hs via Main
IHP.ModelSupport	ihp	Web/Types.hs via Main
IHP.ModelSupport.Types	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.Prelude	ihp	Main.hs via Main
IHP.QueryBuilder	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.Router.UrlGenerator	ihp	Web/Controller/Prelude.hs via Main
IHP.RouterPrelude	ihp	Web/FrontController.hs via Main
IHP.RouterSupport	ihp	Main.hs via Main
IHP.ScriptSupport	ihp	Application/Script/Prelude.hs via Application.Script.BackfillTimesheetPayLedger
